City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
375,banda aceh,5.5577,95.3222,25.4,87,92,3.67,ID,1707157055
376,oriximina,-1.7656,-55.8661,34.49,42,86,3.57,BR,1707157056
377,taltal,-25.4,-70.4833,23.79,69,0,2.31,CL,1707156921
378,nadym,65.5333,72.5167,-24.25,99,69,4.33,RU,1707157056
379,tanout,14.9709,8.8879,20.37,12,99,6.93,NE,1707157056
380,jakar,27.5492,90.7525,-0.88,92,100,1.59,BT,1707156927
381,ushirombo,-3.4919,31.9639,19.66,90,39,1.93,TZ,1707157057
382,quang ngai,15.1167,108.8,21.91,94,30,1.91,VN,1707157057
383,mbuji-mayi,-6.15,23.6,23.25,85,99,1.39,CD,1707157057
384,greymouth,-42.4667,171.2,13.09,94,97,1.95,NZ,1707157057
385,novyy urengoy,66.0833,76.6333,-26.68,100,90,3.05,RU,1707157058
386,le port,-20.9373,55.2919,24.0,75,89,1.61,RE,1707157058
387,flying fish cove,-10.4217,105.6791,22.82,100,100,4.12,CX,1707157058
388,caleta de carquin,-11.0925,-77.6267,26.78,68,37,4.6,PE,1707157058
389,mandalgovi,45.7625,106.2708,-18.7,89,5,3.06,MN,1707157058
390,howard springs,-12.497,131.047,27.95,94,78,3.05,AU,1707157011
391,barranca,-10.75,-77.7667,26.9,64,57,5.12,PE,1707157059
392,guariba,-21.36,-48.2283,32.4,32,80,1.99,BR,1707157059
393,uzgen,40.7699,73.3007,-1.84,68,100,1.88,KG,1707157059
394,labrador city,52.9463,-66.9114,-13.05,47,20,2.06,CA,1707157060
395,kupang,-10.1667,123.5833,25.6,90,99,3.48,ID,1707156960
396,keetmanshoop,-26.5833,18.1333,34.33,15,23,6.71,NA,1707157060
397,newport,51.5877,-2.9984,11.57,88,99,9.77,GB,1707156871
398,usogorsk,63.4106,48.6872,-20.19,97,64,2.56,RU,1707157061
399,nova sintra,14.8667,-24.7167,21.49,66,0,4.48,CV,1707157061
400,ceerigaabo,10.6162,47.368,16.35,73,89,0.88,SO,1707156928
401,dolbeau-mistassini,48.8763,-72.212,-3.74,65,7,3.01,CA,1707157061
402,hengchun,22.0042,120.7439,20.82,82,21,11.52,TW,1707157062
403,tura,25.5198,90.2201,15.6,53,56,1.18,IN,1707157062
404,acarau,-2.8856,-40.12,31.9,55,28,8.55,BR,1707157062
405,onguday,50.75,86.15,-13.98,95,71,1.37,RU,1707157062
